Title/Author,Price,Avalibility,Reviews,Link,Rating
"The Sound of the Mountain
By Yasunari Kawabata",Rs.9313,Not in stock,19 Reviews,https://en.wikipedia.org/wiki/The_Sound_of_the_Mountain,3.05
"Zorba the Greek
By Nikos Kazantzakis",Rs.8801,Not in stock,22 Reviews,https://en.wikipedia.org/wiki/Zorba_the_Greek,1.67
"Sons and Lovers
By D. H. Lawrence",Rs.7158,Not in stock,136 Reviews,https://en.wikipedia.org/wiki/Sons_and_Lovers,4.71
"Independent People
By Halldór Laxness",Rs.9429,Not in stock,22 Reviews,https://en.wikipedia.org/wiki/Independent_People,0
"Poems
By Giacomo Leopardi",Rs.6652,In stock,23 Reviews,https://arifpucit.github.io/bss2/scroll/,1.6800000000000002
"The Golden Notebook
By Doris Lessing",Rs.8579,Not in stock,120 Reviews,https://en.wikipedia.org/wiki/The_Golden_Notebook,1.49
"Pippi Longstocking
By Astrid Lindgren",Rs.9529,Not in stock,61 Reviews,https://en.wikipedia.org/wiki/Pippi_Longstocking,0
"Diary of a Madman
By Lu Xun",Rs.9564,Not in stock,82 Reviews,https://en.wikipedia.org/wiki/A_Madman%27s_Diary,0
"Children of Gebelawi
By Naguib Mahfouz",Rs.5467,Not in stock,128 Reviews,https://en.wikipedia.org/wiki/Children_of_Gebelawi,3.83
"Buddenbrooks
By Thomas Mann",Rs.8300,Not in stock,165 Reviews,https://en.wikipedia.org/wiki/Buddenbrooks,5
"The Magic Mountain
By Thomas Mann",Rs.5683,In stock,85 Reviews,https://en.wikipedia.org/wiki/The_Magic_Mountain,1.29
"Moby Dick
By Herman Melville",Rs.6233,In stock,138 Reviews,https://en.wikipedia.org/wiki/Moby-Dick,2.43
"Essays
By Michel de Montaigne",Rs.9656,Not in stock,153 Reviews,https://en.wikipedia.org/wiki/Essays_(Montaigne),1.26
"History
By Elsa Morante",Rs.6668,Not in stock,76 Reviews,https://en.wikipedia.org/wiki/History_(novel),3.3
"Beloved
By Toni Morrison",Rs.3855,In stock,129 Reviews,https://en.wikipedia.org/wiki/Beloved_(novel),3.77
"The Tale of Genji
By Murasaki Shikibu",Rs.3451,Not in stock,35 Reviews,https://en.wikipedia.org/wiki/The_Tale_of_Genji,4.87
"The Man Without Qualities
By Robert Musil",Rs.5453,Not in stock,130 Reviews,https://en.wikipedia.org/wiki/The_Man_Without_Qualities,4.52
"Lolita
By Vladimir Nabokov",Rs.8072,In stock,188 Reviews,https://en.wikipedia.org/wiki/Lolita,2.45
"Nineteen Eighty-Four
By George Orwell",Rs.3387,In stock,145 Reviews,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,0
"Metamorphoses
By Ovid",Rs.5211,In stock,64 Reviews,https://en.wikipedia.org/wiki/Metamorphoses,2.79
"The Book of Disquiet
By Fernando Pessoa",Rs.8810,In stock,138 Reviews,https://en.wikipedia.org/wiki/The_Book_of_Disquiet,3.39
"Tales
By Edgar Allan Poe",Rs.5432,Not in stock,102 Reviews,https://en.wikipedia.org/wiki/Edgar_Allan_Poe_bibliography#Tales,5
"In Search of Lost Time
By Marcel Proust",Rs.9082,In stock,129 Reviews,https://en.wikipedia.org/wiki/In_Search_of_Lost_Time,2.07
"Gargantua and Pantagruel
By François Rabelais",Rs.4036,In stock,42 Reviews,https://en.wikipedia.org/wiki/Gargantua_and_Pantagruel,4.9
"Pedro Páramo
By Juan Rulfo",Rs.4385,Not in stock,180 Reviews,https://en.wikipedia.org/wiki/Pedro_P%C3%A1ramo,3.7800000000000002
"The Masnavi
By Rumi",Rs.4548,Not in stock,141 Reviews,https://en.wikipedia.org/wiki/Masnavi,4.25
"Midnight's Children
By Salman Rushdie",Rs.7236,In stock,37 Reviews,https://en.wikipedia.org/wiki/Midnight%27s_Children,1.8199999999999998
"Bostan
By Saadi",Rs.8529,Not in stock,170 Reviews,https://en.wikipedia.org/wiki/Bustan_(book),1.08
"Season of Migration to the North
By Tayeb Salih",Rs.7427,Not in stock,129 Reviews,https://en.wikipedia.org/wiki/Season_of_Migration_to_the_North,4.25
"Blindness
By José Saramago",Rs.6417,In stock,94 Reviews,https://en.wikipedia.org/wiki/Blindness_(novel),1.58
"Hamlet
By William Shakespeare",Rs.3875,In stock,3 Reviews,https://en.wikipedia.org/wiki/Hamlet,0
"King Lear
By William Shakespeare",Rs.8696,In stock,159 Reviews,https://en.wikipedia.org/wiki/King_Lear,0
"Othello
By William Shakespeare",Rs.6784,In stock,11 Reviews,https://en.wikipedia.org/wiki/Othello,1.2
"Oedipus the King
By Sophocles",Rs.4837,In stock,96 Reviews,https://en.wikipedia.org/wiki/Oedipus_the_King,1.06
"The Red and the Black
By Stendhal",Rs.9145,In stock,86 Reviews,https://en.wikipedia.org/wiki/The_Red_and_the_Black,0
"The Life And Opinions of Tristram Shandy
By Laurence Sterne",Rs.7742,In stock,15 Reviews,"https://en.wikipedia.org/wiki/The_Life_and_Opinions_of_Tristram_Shandy,_Gentleman",2.64
"Confessions of Zeno
By Italo Svevo",Rs.6690,In stock,129 Reviews,https://en.wikipedia.org/wiki/Zeno%27s_Conscience,5
"Gulliver's Travels
By Jonathan Swift",Rs.3978,Not in stock,200 Reviews,https://en.wikipedia.org/wiki/Gulliver%27s_Travels,5
"War and Peace
By Leo Tolstoy",Rs.9336,Not in stock,177 Reviews,https://en.wikipedia.org/wiki/War_and_Peace,5
"Anna Karenina
By Leo Tolstoy",Rs.7680,In stock,141 Reviews,https://en.wikipedia.org/wiki/Anna_Karenina,3.83
"The Death of Ivan Ilyich
By Leo Tolstoy",Rs.5879,In stock,23 Reviews,https://en.wikipedia.org/wiki/The_Death_of_Ivan_Ilyich,1.73
"The Adventures of Huckleberry Finn
By Mark Twain",Rs.8763,Not in stock,80 Reviews,https://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,4.45
"Ramayana
By Valmiki",Rs.7900,In stock,129 Reviews,https://en.wikipedia.org/wiki/Ramayana,3.14
"The Aeneid
By Virgil",Rs.5154,In stock,149 Reviews,https://en.wikipedia.org/wiki/Aeneid,2.7199999999999998
"Mahabharata
By Vyasa",Rs.9469,Not in stock,75 Reviews,https://en.wikipedia.org/wiki/Mahabharata,3.48
"Leaves of Grass
By Walt Whitman",Rs.7761,Not in stock,173 Reviews,https://en.wikipedia.org/wiki/Leaves_of_Grass,1.21
"Mrs Dalloway
By Virginia Woolf",Rs.8705,In stock,88 Reviews,https://en.wikipedia.org/wiki/Mrs_Dalloway,2.55
"To the Lighthouse
By Virginia Woolf",Rs.4036,Not in stock,176 Reviews,https://en.wikipedia.org/wiki/To_the_Lighthouse,5
"Memoirs of Hadrian
By Marguerite Yourcenar",Rs.7246,In stock,130 Reviews,https://en.wikipedia.org/wiki/Memoirs_of_Hadrian,4.61
