Title/Author,Price,Avalibility,Reviews,Link,Rating
"The Decameron
By Giovanni Boccaccio",Rs.5413,Not in stock,96 Reviews,https://en.wikipedia.org/wiki/The_Decameron,5
"Ficciones
By Jorge Luis Borges",Rs.9407,In stock,169 Reviews,https://en.wikipedia.org/wiki/Ficciones,0
"Wuthering Heights
By Emily Brontë",Rs.8631,Not in stock,50 Reviews,https://en.wikipedia.org/wiki/Wuthering_Heights,4.26
"The Stranger
By Albert Camus",Rs.5976,Not in stock,144 Reviews,https://en.wikipedia.org/wiki/The_Stranger_(novel),2.11
"Poems
By Paul Celan",Rs.8781,In stock,151 Reviews,https://arifpucit.github.io/bss2/popup/?page_2,5
"Journey to the End of the Night
By Louis-Ferdinand Céline",Rs.5446,Not in stock,120 Reviews,https://en.wikipedia.org/wiki/Journey_to_the_End_of_the_Night,5
"Don Quijote De La Mancha
By Miguel de Cervantes",Rs.3632,Not in stock,50 Reviews,https://en.wikipedia.org/wiki/Don_Quixote,5
"The Canterbury Tales
By Geoffrey Chaucer",Rs.4383,In stock,191 Reviews,https://en.wikipedia.org/wiki/The_Canterbury_Tales,4.31
"Stories
By Anton Chekhov",Rs.7142,In stock,127 Reviews,https://en.wikipedia.org/wiki/List_of_short_stories_by_Anton_Chekhov,4.13
"Nostromo
By Joseph Conrad",Rs.8176,In stock,161 Reviews,https://en.wikipedia.org/wiki/Nostromo,0
"Great Expectations
By Charles Dickens",Rs.3764,Not in stock,146 Reviews,https://en.wikipedia.org/wiki/Great_Expectations,3.08
"Jacques the Fatalist
By Denis Diderot",Rs.3493,Not in stock,80 Reviews,https://en.wikipedia.org/wiki/Jacques_the_Fatalist,0
"Berlin Alexanderplatz
By Alfred Döblin",Rs.9766,In stock,200 Reviews,https://en.wikipedia.org/wiki/Berlin_Alexanderplatz,2.85
"Crime and Punishment
By Fyodor Dostoevsky",Rs.5997,In stock,78 Reviews,https://en.wikipedia.org/wiki/Crime_and_Punishment,1.01
"The Idiot
By Fyodor Dostoevsky",Rs.4831,In stock,164 Reviews,https://en.wikipedia.org/wiki/The_Idiot,3.12
"The Possessed
By Fyodor Dostoevsky",Rs.4423,In stock,23 Reviews,https://en.wikipedia.org/wiki/Demons_(Dostoyevsky_novel),1.88
"The Brothers Karamazov
By Fyodor Dostoevsky",Rs.7675,In stock,193 Reviews,https://en.wikipedia.org/wiki/The_Brothers_Karamazov,0
"Middlemarch
By George Eliot",Rs.9402,Not in stock,186 Reviews,https://en.wikipedia.org/wiki/Middlemarch,5
"Invisible Man
By Ralph Ellison",Rs.5654,Not in stock,27 Reviews,https://en.wikipedia.org/wiki/Invisible_Man,5
"Medea
By Euripides",Rs.3079,In stock,158 Reviews,https://en.wikipedia.org/wiki/Medea_(play),2.65
"Absalom, Absalom!
By William Faulkner",Rs.7265,Not in stock,30 Reviews,"https://en.wikipedia.org/wiki/Absalom,_Absalom!",0
"The Sound and the Fury
By William Faulkner",Rs.5898,In stock,6 Reviews,https://en.wikipedia.org/wiki/The_Sound_and_the_Fury,3.64
"Madame Bovary
By Gustave Flaubert",Rs.7241,In stock,183 Reviews,https://en.wikipedia.org/wiki/Madame_Bovary,3.59
"Sentimental Education
By Gustave Flaubert",Rs.5416,In stock,6 Reviews,https://en.wikipedia.org/wiki/Sentimental_Education,1.2
"Gypsy Ballads
By Federico García Lorca",Rs.6208,Not in stock,5 Reviews,https://en.wikipedia.org/wiki/Gypsy_Ballads,0
"One Hundred Years of Solitude
By Gabriel García Márquez",Rs.7794,In stock,142 Reviews,https://en.wikipedia.org/wiki/One_Hundred_Years_of_Solitude,1.9300000000000002
"Love in the Time of Cholera
By Gabriel García Márquez",Rs.8027,Not in stock,85 Reviews,https://en.wikipedia.org/wiki/Love_in_the_Time_of_Cholera,3.68
"Faust
By Johann Wolfgang von Goethe",Rs.9493,In stock,109 Reviews,https://en.wikipedia.org/wiki/Goethe%27s_Faust,4.61
"Dead Souls
By Nikolai Gogol",Rs.7111,Not in stock,196 Reviews,https://en.wikipedia.org/wiki/Dead_Souls,1.99
"The Tin Drum
By Günter Grass",Rs.6274,Not in stock,144 Reviews,https://en.wikipedia.org/wiki/The_Tin_Drum,4.4
"The Devil to Pay in the Backlands
By João Guimarães Rosa",Rs.4353,In stock,27 Reviews,https://en.wikipedia.org/wiki/The_Devil_to_Pay_in_the_Backlands,2.15
"Hunger
By Knut Hamsun",Rs.7744,In stock,200 Reviews,https://en.wikipedia.org/wiki/Hunger_(Hamsun_novel),2.03
"The Old Man and the Sea
By Ernest Hemingway",Rs.3490,Not in stock,27 Reviews,https://en.wikipedia.org/wiki/The_Old_Man_and_the_Sea,2.54
"Iliad
By Homer",Rs.5999,Not in stock,103 Reviews,https://en.wikipedia.org/wiki/Iliad,2.25
"Odyssey
By Homer",Rs.9572,In stock,190 Reviews,https://en.wikipedia.org/wiki/Odyssey,4.52
"A Doll's House
By Henrik Ibsen",Rs.7626,Not in stock,2 Reviews,https://en.wikipedia.org/wiki/A_Doll%27s_House,5
"Ulysses
By James Joyce",Rs.3156,Not in stock,143 Reviews,https://en.wikipedia.org/wiki/Ulysses_(novel),4.26
"Stories
By Franz Kafka",Rs.4280,Not in stock,83 Reviews,https://en.wikipedia.org/wiki/Franz_Kafka_bibliography#Short_stories,0
"The Trial
By Franz Kafka",Rs.6694,Not in stock,48 Reviews,https://en.wikipedia.org/wiki/The_Trial,3.89
"The Castle
By Franz Kafka",Rs.8053,Not in stock,11 Reviews,https://en.wikipedia.org/wiki/The_Castle_(novel),4.13
"The recognition of Shakuntala
By Kālidāsa",Rs.5370,In stock,71 Reviews,https://en.wikipedia.org/wiki/Abhij%C3%B1%C4%81na%C5%9B%C4%81kuntalam,3.25
"The Sound of the Mountain
By Yasunari Kawabata",Rs.8905,Not in stock,138 Reviews,https://en.wikipedia.org/wiki/The_Sound_of_the_Mountain,5
"Zorba the Greek
By Nikos Kazantzakis",Rs.7351,In stock,82 Reviews,https://en.wikipedia.org/wiki/Zorba_the_Greek,1.03
"Sons and Lovers
By D. H. Lawrence",Rs.6291,Not in stock,10 Reviews,https://en.wikipedia.org/wiki/Sons_and_Lovers,3.73
"Independent People
By Halldór Laxness",Rs.3493,In stock,104 Reviews,https://en.wikipedia.org/wiki/Independent_People,4.87
"Poems
By Giacomo Leopardi",Rs.5240,Not in stock,160 Reviews,https://arifpucit.github.io/bss2/popup/?page_4,1.63
"The Golden Notebook
By Doris Lessing",Rs.8924,Not in stock,140 Reviews,https://en.wikipedia.org/wiki/The_Golden_Notebook,1.48
"Pippi Longstocking
By Astrid Lindgren",Rs.6701,In stock,55 Reviews,https://en.wikipedia.org/wiki/Pippi_Longstocking,3.39
"Diary of a Madman
By Lu Xun",Rs.9658,Not in stock,104 Reviews,https://en.wikipedia.org/wiki/A_Madman%27s_Diary,0
"Children of Gebelawi
By Naguib Mahfouz",Rs.9715,In stock,125 Reviews,https://en.wikipedia.org/wiki/Children_of_Gebelawi,5
"Buddenbrooks
By Thomas Mann",Rs.6914,In stock,103 Reviews,https://en.wikipedia.org/wiki/Buddenbrooks,3.15
"The Magic Mountain
By Thomas Mann",Rs.9304,Not in stock,173 Reviews,https://en.wikipedia.org/wiki/The_Magic_Mountain,2.88
"Moby Dick
By Herman Melville",Rs.8448,Not in stock,167 Reviews,https://en.wikipedia.org/wiki/Moby-Dick,3
"Essays
By Michel de Montaigne",Rs.4149,Not in stock,100 Reviews,https://en.wikipedia.org/wiki/Essays_(Montaigne),1.32
"History
By Elsa Morante",Rs.5037,Not in stock,9 Reviews,https://en.wikipedia.org/wiki/History_(novel),4.91
"Beloved
By Toni Morrison",Rs.6203,In stock,150 Reviews,https://en.wikipedia.org/wiki/Beloved_(novel),3.83
"The Tale of Genji
By Murasaki Shikibu",Rs.9333,Not in stock,149 Reviews,https://en.wikipedia.org/wiki/The_Tale_of_Genji,0
"The Man Without Qualities
By Robert Musil",Rs.8438,In stock,74 Reviews,https://en.wikipedia.org/wiki/The_Man_Without_Qualities,5
"Lolita
By Vladimir Nabokov",Rs.9670,In stock,157 Reviews,https://en.wikipedia.org/wiki/Lolita,3.48
"Nineteen Eighty-Four
By George Orwell",Rs.4771,In stock,148 Reviews,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,2.43
"Metamorphoses
By Ovid",Rs.9006,In stock,153 Reviews,https://en.wikipedia.org/wiki/Metamorphoses,0
"The Book of Disquiet
By Fernando Pessoa",Rs.9645,In stock,187 Reviews,https://en.wikipedia.org/wiki/The_Book_of_Disquiet,2.95
"Tales
By Edgar Allan Poe",Rs.3048,Not in stock,84 Reviews,https://en.wikipedia.org/wiki/Edgar_Allan_Poe_bibliography#Tales,0
"In Search of Lost Time
By Marcel Proust",Rs.6242,In stock,125 Reviews,https://en.wikipedia.org/wiki/In_Search_of_Lost_Time,0
"Gargantua and Pantagruel
By François Rabelais",Rs.9913,In stock,193 Reviews,https://en.wikipedia.org/wiki/Gargantua_and_Pantagruel,1.9100000000000001
"Pedro Páramo
By Juan Rulfo",Rs.3550,In stock,61 Reviews,https://en.wikipedia.org/wiki/Pedro_P%C3%A1ramo,2.8
"The Masnavi
By Rumi",Rs.3652,Not in stock,66 Reviews,https://en.wikipedia.org/wiki/Masnavi,3.94
"Midnight's Children
By Salman Rushdie",Rs.3580,In stock,191 Reviews,https://en.wikipedia.org/wiki/Midnight%27s_Children,1.3900000000000001
"Bostan
By Saadi",Rs.8205,In stock,89 Reviews,https://en.wikipedia.org/wiki/Bustan_(book),2.71
"Season of Migration to the North
By Tayeb Salih",Rs.9615,In stock,190 Reviews,https://en.wikipedia.org/wiki/Season_of_Migration_to_the_North,4.32
"Blindness
By José Saramago",Rs.6977,Not in stock,198 Reviews,https://en.wikipedia.org/wiki/Blindness_(novel),1.29
"Hamlet
By William Shakespeare",Rs.9387,Not in stock,42 Reviews,https://en.wikipedia.org/wiki/Hamlet,1.5899999999999999
"King Lear
By William Shakespeare",Rs.9574,In stock,101 Reviews,https://en.wikipedia.org/wiki/King_Lear,1.17
"Othello
By William Shakespeare",Rs.7190,In stock,169 Reviews,https://en.wikipedia.org/wiki/Othello,3.01
"Oedipus the King
By Sophocles",Rs.4442,In stock,52 Reviews,https://en.wikipedia.org/wiki/Oedipus_the_King,1.2
"The Red and the Black
By Stendhal",Rs.9602,In stock,76 Reviews,https://en.wikipedia.org/wiki/The_Red_and_the_Black,2.27
"The Life And Opinions of Tristram Shandy
By Laurence Sterne",Rs.3597,In stock,77 Reviews,"https://en.wikipedia.org/wiki/The_Life_and_Opinions_of_Tristram_Shandy,_Gentleman",0
"Confessions of Zeno
By Italo Svevo",Rs.8669,In stock,81 Reviews,https://en.wikipedia.org/wiki/Zeno%27s_Conscience,2.17
"Gulliver's Travels
By Jonathan Swift",Rs.7727,In stock,154 Reviews,https://en.wikipedia.org/wiki/Gulliver%27s_Travels,0
"War and Peace
By Leo Tolstoy",Rs.5992,Not in stock,81 Reviews,https://en.wikipedia.org/wiki/War_and_Peace,0
"Anna Karenina
By Leo Tolstoy",Rs.7558,In stock,7 Reviews,https://en.wikipedia.org/wiki/Anna_Karenina,3.42
"The Death of Ivan Ilyich
By Leo Tolstoy",Rs.8711,In stock,29 Reviews,https://en.wikipedia.org/wiki/The_Death_of_Ivan_Ilyich,0
"The Adventures of Huckleberry Finn
By Mark Twain",Rs.4079,In stock,128 Reviews,https://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,2.92
"Ramayana
By Valmiki",Rs.4006,Not in stock,113 Reviews,https://en.wikipedia.org/wiki/Ramayana,0
"The Aeneid
By Virgil",Rs.7513,Not in stock,5 Reviews,https://en.wikipedia.org/wiki/Aeneid,0
"Mahabharata
By Vyasa",Rs.9714,In stock,24 Reviews,https://en.wikipedia.org/wiki/Mahabharata,5
"Leaves of Grass
By Walt Whitman",Rs.7236,In stock,182 Reviews,https://en.wikipedia.org/wiki/Leaves_of_Grass,2.85
"Mrs Dalloway
By Virginia Woolf",Rs.6260,Not in stock,139 Reviews,https://en.wikipedia.org/wiki/Mrs_Dalloway,4.73
"To the Lighthouse
By Virginia Woolf",Rs.8183,In stock,40 Reviews,https://en.wikipedia.org/wiki/To_the_Lighthouse,5
"Memoirs of Hadrian
By Marguerite Yourcenar",Rs.3108,In stock,25 Reviews,https://en.wikipedia.org/wiki/Memoirs_of_Hadrian,1.62
