Address,Bedroom,Bathroom,Area,Price
"DHA Phase 7, Lahore",5,6,1 Kanal,7.35 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.55 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.66 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.55 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.65 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.63 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,4.3 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.62 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.59 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.58 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"DHA Phase 6, Lahore",5,6,1 Kanal,9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.57 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.56 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.55 crore
"DHA Phase 6, Lahore",5,6,1 Kanal,8.75 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.8 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.6 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.9 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.1 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.54 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.53 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.52 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.51 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.98 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.97 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.96 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.95 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.94 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.93 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.92 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.91 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.9 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.89 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.88 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.87 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.86 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.85 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.84 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.83 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.82 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.81 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.8 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.79 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.78 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.77 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.76 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.75 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.74 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.73 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.72 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.71 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.7 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.69 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.68 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.67 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.66 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.65 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.64 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.63 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.62 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.61 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.6 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.59 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.58 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.58 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.57 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.56 crore
"Bahria Town - Sector C , Lahore",4,5,10 Marla,3.55 crore
"Johar Town Phase 1 - Block A2, Lahore",7,6,7.5 Marla,2.9 crore
"Johar Town, Lahore",3,3,3 Marla,1.3 crore
"Garhi Shahu, Lahore",6,4,5.25 Marla,1.65 crore
"Green City, Lahore",3,4,5 Marla,2.25 crore
"Nadirabad, Lahore",3,4,3 Marla,92 lac
"Lahore Medical Housing Society, Lahore",7,7,10 Marla,2.6 crore
"DHA Phase 6, Lahore",5,6,1 Kanal,8.65 crore
"DHA Phase 6, Lahore",5,6,1 Kanal,8.45 crore
"Shad Bagh, Lahore",4,3,5 Marla,1.5 crore
"Al Hafeez Gardens, Lahore",3,3,3 Marla,1.4 crore
"DHA Phase 6, Lahore",6,6,1 Kanal,16 crore
"DHA Phase 6, Lahore",5,5,1 Kanal,12.5 crore
"Central Park Housing Scheme, Lahore",3,4,845 Sqft,1.45 crore
"Ali Town, Lahore",6,7,3.5 Marla,2.65 crore
"Thokar Niaz Baig, Lahore",3,5,5 Marla,1.5 crore
"DHA Rahbar, Lahore",3,4,5 Marla,2.1 crore
"Samanabad, Lahore",4,4,4 Marla,2.4 crore
"Sukh Chayn Gardens, Lahore",5,6,14.5 Marla,5.25 crore
"DHA Phase 6, Lahore",6,6,2 Kanal,42 crore
"DHA Phase 6, Lahore",7,7,1 Kanal,16.5 crore
"DHA Phase 6, Lahore",5,5,1 Kanal,11.5 crore
"DHA Phase 7, Lahore",5,4,20 Marla,9 crore
"DHA Town Phase 9, Lahore",3,4,5 Marla,1.5 crore
"DHA Phase 6, Lahore",5,5,1 Kanal,12 crore
"DHA Phase 6, Lahore",5,5,1 Kanal,9.6 crore
"DHA Phase 6, Lahore",4,4,7 Marla,6.25 crore
"DHA Phase 6, Lahore",4,4,7 Marla,6.25 crore
"Al Kabir Town Phase 2, Lahore",3,4,3 Marla,1.3 crore
"DHA Town Phase 9, Lahore",3,4,5 Marla,2.75 crore
"Cavalry Ground, Lahore",4,4,10 Marla,4.75 crore
"DHA Phase 6, Lahore",6,6,2 Kanal,32 crore
"DHA Phase 6, Lahore",5,6,1 Kanal,12 crore
"Johar Town Phase 2 - Block K, Lahore",4,5,10 Marla,3.69 crore
"Johar Town Phase 2 - Block K, Lahore",4,5,10 Marla,3.85 crore
"Johar Town Phase 2 - Block K, Lahore",4,5,10 Marla,3.9 crore
"Johar Town Phase 2 - Block K, Lahore",3,4,5 Marla,2.68 crore
"Johar Town Phase 2 - Block K, Lahore",3,4,5 Marla,2.65 crore
"Johar Town Phase 2 - Block K, Lahore",4,5,10 Marla,3.77 crore
"Johar Town Phase 2 - Block K, Lahore",4,5,10 Marla,3.76 crore
"Johar Town Phase 2 - Block K, Lahore",3,4,5 Marla,2.54 crore
"Johar Town Phase 2 - Block K, Lahore",3,4,5 Marla,2.56 crore
"Johar Town Phase 1 - Block D, Lahore",4,5,10 Marla,3.82 crore
"Johar Town Phase 1 - Block D, Lahore",4,5,10 Marla,3.8 crore
"Johar Town Phase 1 - Block D, Lahore",4,5,10 Marla,3.78 crore
"Johar Town Phase 1 - Block D, Lahore",4,5,10 Marla,3.76 crore
"Johar Town Phase 1 - Block D, Lahore",4,5,10 Marla,3.74 crore
"Johar Town Phase 1 - Block D, Lahore",4,5,10 Marla,3.72 crore
"Johar Town Phase 1 - Block D, Lahore",4,5,10 Marla,3.7 crore
"Khayaban E Amin, Lahore",2,2,5 Marla,70 lac
"Johar Town Phase 2 - Block J3, Lahore",4,5,10 Marla,3.68 crore
"Khayaban E Amin, Lahore",2,2,5 Marla,70 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,70 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,70 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,70 lac
"Khayaban E Amin, Lahore",2,2,5 Marla,70 lac
"Johar Town Phase 2 - Block J3, Lahore",3,4,5 Marla,2.38 crore
"Johar Town Phase 2 - Block J3, Lahore",3,4,5 Marla,2.38 crore
"Johar Town Phase 2 - Block J3, Lahore",4,5,10 Marla,3.67 crore
"Johar Town Phase 2 - Block J3, Lahore",4,5,10 Marla,3.66 crore
"Johar Town Phase 2 - Block J3, Lahore",3,4,5 Marla,2.7 crore
"Johar Town Phase 2 - Block J3, Lahore",3,4,5 Marla,2.65 crore
"Johar Town Phase 2 - Block J3, Lahore",4,5,10 Marla,3.57 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Johar Town Phase 2 - Block J3, Lahore",4,5,10 Marla,3.56 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Johar Town Phase 2 - Block J3, Lahore",4,5,10 Marla,3.54 crore
"Johar Town Phase 2 - Block J3, Lahore",3,4,5 Marla,2.44 crore
"Al Rehman Garden Phase 2, Lahore",5,6,10 Marla,3.5 crore
"Johar Town Phase 2 - Block J3, Lahore",3,4,5 Marla,2.42 crore
"Johar Town Phase 2 - Block J, Lahore",4,5,10 Marla,3.89 crore
"Johar Town Phase 2 - Block J, Lahore",4,5,10 Marla,3.87 crore
"Johar Town Phase 2 - Block J, Lahore",3,4,5 Marla,2.68 crore
"Johar Town Phase 2 - Block J, Lahore",3,4,5 Marla,2.65 crore
"Johar Town Phase 2 - Block J, Lahore",3,4,5 Marla,2.43 crore
"Johar Town Phase 2 - Block J, Lahore",3,4,5 Marla,2.4 crore
"Johar Town Phase 2 - Block L, Lahore",3,4,5 Marla,2.46 crore
"Johar Town Phase 2 - Block L, Lahore",4,5,10 Marla,3.67 crore
"Johar Town Phase 2 - Block L, Lahore",4,5,10 Marla,3.66 crore
"Johar Town Phase 2 - Block L, Lahore",4,5,10 Marla,3.64 crore
"Johar Town Phase 2 - Block L, Lahore",3,4,5 Marla,2.52 crore
"Johar Town Phase 2 - Block L, Lahore",4,5,10 Marla,3.85 crore
"Johar Town Phase 2 - Block L, Lahore",4,5,10 Marla,3.9 crore
"Johar Town Phase 2 - Block L, Lahore",4,5,10 Marla,3.63 crore
"Johar Town Phase 2 - Block L, Lahore",4,5,10 Marla,3.85 crore
"Johar Town Phase 2 - Block P, Lahore",4,5,10 Marla,3.48 crore
"Johar Town Phase 2 - Block P, Lahore",3,4,5 Marla,2.55 crore
"Johar Town Phase 2 - Block P, Lahore",3,4,5 Marla,2.45 crore
"Johar Town Phase 2 - Block P, Lahore",4,5,10 Marla,3.62 crore
"Johar Town Phase 2 - Block P, Lahore",4,5,10 Marla,3.6 crore
"Johar Town Phase 2 - Block P, Lahore",4,5,10 Marla,3.55 crore
"Johar Town Phase 2 - Block P, Lahore",4,5,10 Marla,3.5 crore
